Original;Frag;classe;local;Sub;Placa;X;Y;PAP;HPAP;H;IC;CE;F1;F2;GD;F5;familia;spp;quantity
sdm01_02Parquef15;LC9b;LC;Borda;1;G2400;0,5;2,2;79,3;;13;5;9;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2401;0,2;0,8;42,5;;14;5;9;am;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2402;3,4;0,6;42,5;;14;4;5;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2403;8,8;3,1;56,9;;14;5;15;cm;1;;1;Primulaceae;Myrsine umbellata;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2404;9,5;3,1;57;;15;5;1;am;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2405;7,2;4,2;52,3;;13;4;5;am;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2406;6,2;5,8;55,5;;14;5;15;a ;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2407;3,2;7;49,2;;12;5;5;ch;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2407;3,2;7;46,1;;6;3;5;c;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2408;9,8;8,5;85,6;;1,7;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2409;5,8;2,8;32;;12;4;1;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2410;4;3,2;32,4;;12;5;1;am;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2411;1;1,3;35;;13;3;2;a;1;;1;Annonaceae;Annona sylvatica;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2412;2,4;1,1;57;;14;4;1;ahm;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2412;2,4;1,1;57,2;;14;5;2;am;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2413;2,1;5,7;47,3;;14;4;5;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2414;0,2;3,7;47,4;;14;5;1;a;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2415;2,4;5,7;32;;12;4;5;a;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2416;4,3;6,8;33,4;;10;4;1;a;1;;1;Lauraceae  ;Aniba firmula;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2417;4,3;5,9;36,9;;10;3;1;c;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2418;4,3;7,7;46,2;;10;3;5;c;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2419;5,4;9,4;58,7;;16;5;1;am;1;;1;Sapindaceae;Cupania oblongifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2420;8,3;4;61,6;;16;5;2;cm;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2421;1,7;2,4;78,7;;16;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2422;9,4;1,8;62,7;;1,7;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2423;5,4;2,6;39,2;;10;4;5;c;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2424;6,7;2,8;34,5;;12;3;1;c;1;;1;Urticaceae;Coussapoa microcarpa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2425;7,4;3,5;37,1;;8;3;5;ch;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2425;7,4;3,5;32,6;;5;3;15;c;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2426;4;3,1;81,1;;10;4;15;bh;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2426;4;3,1;55,4;;5;;15;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2427;5,1;7,9;32,3;;8;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2428;5,8;9,2;34,3;;12;4;0;a;1;;1;Sapindaceae;Cupania oblongifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2429;7;5,7;48,6;;12;4;9;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2430;9,2;7,2;81,3;;20;5;5;ah ;1;;1;Fabaceae;Pseudopiptadenia leptostachya;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2430;9,2;7,2;36,5;;10;4;9;a;1;;1;Fabaceae;Pseudopiptadenia leptostachya;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2431;9,3;4,1;58,4;;20;5;5;am;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2432;8,2;4,1;54,1;;17;5;41;a;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2433;5,4;3;37,2;;7;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2434;5,3;0,8;41,3;;7;4;5;a;1;;1;Lauraceae  ;Ocotea puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2435;5,8;4;46,1;;15;4;1;a;1;;1;Primulaceae;Myrsine umbellata;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2436;3,7;0,1;75;;7;3;5;bchz;1;;1;Indeterminada;Indeterminada sem coleta;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2436;3,7;0,1;75;;10;3;5;bcz;1;;1;Indeterminada;Indeterminada sem coleta;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2437;3,7;2,6;35,9;;10;4;9;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2438;0,3;7,2;52,7;;20;5;1;a;1;;1;Lauraceae  ;Nectandra puberula;1
